,headline,is_sarcastic
0,Governors Pause Some Reopenings As Coronavirus Cases Near Record High,0
1,House Passes Police Reform Bill,0
2,"The Supreme Court Rulings On LGBTQ Rights And DACA Are Really Popular, Poll Finds",0
3,Maxine Waters Rips Trump For Focusing More On Dead Confederates Than COVID-19 Toll,0
4,"Yes, The Government Mailed Stimulus Checks To Dead People. It's Not A Big Deal.",0
5,Colorado Appoints Prosecutor To Investigate Elijah McClain's Death,0
6,Trump To Attend Mount Rushmore Fireworks Show Amid Wildfire And COVID-19 Risks,0
7,Media Brutally Calls Out John Bolton For Putting Money Over Patriotism,0
8,Police Foundations And Their Corporate Donors Give Cops Secret Slush Funds,0
9,Disney Parks Removing 'Song Of The South' From Splash Mountain Ride,0
10,Washington's Lone Voice In Congress Praises 'Historic' Vote For Statehood,0
11,Eiffel Tower Reopens After 104-Day Coronavirus Shutdown,0
12,Why Bars Are The Perfect Environment For Spreading Coronavirus,0
13,Former GOP Candidate Carly Fiorina Says She Won't Vote For Donald Trump Again,0
14,Colorado Governor Will Examine Death Of Elijah McClain After Millions Sign Petition,0
15,Applications For Unemployment Aid Fall To Still-High 1.48 Million,0
16,Andrew Yang Offers Scathing Explanation For Trump's Racist 'Kung Flu' Slurs,0
17,Mark Cuban Enlightens Fox Viewers With The Key Difference Between Biden And Trump,0
18,Sammy Hagar Says He’s Willing To Sacrifice People To Coronavirus For The Economy,0
19,WikiLeaks Founder Julian Assange Faces New Indictment In U.S.,0
20,North Carolina Cops Fired Over Racist Chats About ‘Slaughtering’ Black People,0
21,Michael Bolton Trolls John Bolton By Singing Hilariously Fake Book Excerpts,0
22,Tucker Carlson Cooks Up His Dumbest Conspiracy Theory Yet,0
23,Don Lemon Issues 'Dire Warning' About How To Survive Coronavirus Under Trump,0
24,Seth Meyers Explains Why ‘Bald-Faced Racism’ Is Now Trump’s Only Hope Of Winning,0
25,"Woman Who Praised KKK Apologizes, Vows To Never Wave Confederate Flag Again",0
26,Dozens Of Secret Service Agents Reportedly Told To Quarantine After Tulsa Rally,0
27,"Jon Stewart Names The Biden Trait That 'In This Moment, This Country Needs'",0
28,Anti-Mask Floridian,0
29,Daily Coronavirus Cases Once Again At Peak As Lockdown Measures Lift,0
30,'Gone With The Wind' Back On HBO Max But With More Historical ,0
31,Detroit Man Demands Police Department Abandon Face Recognition Technology,0
32,Jon Stewart Admits He Failed At Diversity When Hiring ‘Daily Show’ Staff,0
33,3 Men Indicted By Grand Jury On Murder Charges In Killing Of Ahmaud Arbery,0
34,Georgia Bill Would Stop Officials From Mailing Absentee Ballot Applications,0
35,Florida Woman Sues For Paternity Test On Goats -- No Kidding,0
36,Brendon Urie Shreds Trump For Using Panic! At The Disco Song At Arizona Rally,0
37,Trump Doubles Down On Calling COVID-19 'Kung Flu' In Phoenix Rally,0
38,Young Gay Liberal Leads Homophobic Preacher In Heated New York U.S. House Race,0
39,"Kentucky’s Election Wasn’t A Disaster, But It Exposed Problems In Pandemic-Era Voting",0
40,"NY, NJ And Connecticut Order Visitors From New COVID Hot Spots To Quarantine",0
41,Man Finds Caterpillars In Supermarket Broccoli And Raises Them As His Own,0
42,Feds Set To Cut Coronavirus Testing Funds As COVID-19 Cases Soar,0
43,Police Reform Stalls Out In The Senate,0
44,Jamaal Bowman Set For New York Primary Win,0
45,Rhode Island Takes Step Toward Removing 'Plantation' From Official Name,0
46,New York City Marathon Canceled Due To Coronavirus,0
47,Mitch McConnell Is A Spineless Garden Pest In Jim Carrey’s Latest Artwork,0
48,New U.S. Coronavirus Cases Hit Highest Level In 2 Months,0
49,Bubba Wallace Debunks Noose Hoax Conspiracy Theories: 'I'm Pissed',0
50,"Crowds Tear Down Statues At Wisconsin Capitol, Attack State Senator",0
51,Anderson Cooper Blasts ‘Biological Bunker’ Dweller Trump Over Coronavirus Hypocrisy,0
52,Rachel Maddow Spells Out The Danger That Trump’s Rallies Pose To The World,0
53,Donald Trump Jr. Desperately Tries To Spin His Dad's 'Walk Of Shame' Picture,0
54,Obama Explains Why Democrats Can’t Afford To Get Smug About Trump,0
55,Ex-Trump Aide Gorka Boasts About Not Wearing 'COVID Burqas' To Combat Coronavirus,0
56,'Mass Murder': Trump's Coronavirus Confession Is Already Being Used In Attack Ads,0
57,Colbert Hits 'Naive' Bolton Over Trump In Blunt Q&amp;A: 'How Did You Not Know?',0
58,Trump Family Moves To Block Tell-All Written By President’s Niece,0
59,Woman Who Deliberately Coughed In Baby's Face Is Wanted By Police,0
60,Winona Ryder Says Keanu Reeves Refused To Yell Insults At Her To Make Her Cry,0
61,Dr. Cameron Webb Wins Democratic Nomination For U.S. House In Virginia,0
62,First Patient To Receive Gene Editing Treatment For Sickle Cell Doing Well In 2020,0
63,Segway Hits The Brakes On Its Flagship Product,0
64,Noose Found In Garage Used By NASCAR’s Bubba Wallace Was There In 2019: FBI,0
65,Google Workers Call For Company To Cease Selling Technology To Police Departments,0
66,Alfalfa From ‘Little Rascals’ Arrested After Overdose Report,0
67,Dead Iguana Found In Freezer Of Florida Pizza Parlor,0
68,Democrats Threaten To Block 'Woefully Inadequate' GOP Police Reform Bill,0
69,Kentucky And New York Hold Primaries Amid Concerns About Polling Site Closures,0
70,U.S. coronavirus task force members: Trump hasn't asked us to slow testing,0
71,Trump Says He Wasn't Joking About Slowing COVID-19 Testing: 'I Don't Kid',0
72,New U.S. COVID-19 Cases Surge 25%,0
73,The R-Rated Art Campaign That’s A 2-Word 'Primal Scream’ Against Trump,0
74,Police Pepper-Spray Protesters Trying To Pull Down Andrew Jackson Statue In DC,0
75,Giuliani Says Black Lives Matter Wants To ‘Take Your House Away From You’,0
76,Late Show Hosts Dissect Trump’s Tulsa Rally For The Many Voters Who Didn't Go,0
77,Fake Melania Fears She’s Next ‘Lifeless Monument To White Supremacy’ To Be Torn Down,0
78,It’s Time For America To Get Serious About Fixing The Trains,0
79,Donald Trump Makes 'Hustory' With Latest Weird Twitter Typo,0
80,CNN's Dr. Sanjay Gupta: 'We Are Right Back To Square One' On Flattening The Curve,0
81,Clueless Yosemite Bigwig Caught Using Protected Meadow For Golf,0
82,Even Lou Dobbs Admits Trump's Rally In Tulsa Was 'A Mess',0
83,Trevor Noah Makes A Bleak Observation About Trump's Post-Rally Mood,0
84,MSNBC Supercut Exposes Trump’s Go-To Defense Of His Outrageous Statements,0
85,Schools Across U.S. Wonder How To Social Distance With Meager Budgets,0
86,The Fed’s Coronavirus Spending On Fossil Fuel Could Dig A $19 Billion Money Pit,0
87,"Confederate Flag-Waving Trump Supporter Praises KKK, Vows To Teach Hate",0
88,Republican Group Relentlessly Dunks On 'Disheveled' Post-Rally Trump In New Ad,0
89,Trump Baselessly Accuses Obama Of ‘Treason’,0
90,Jennifer Aniston And Lisa Kudrow Dish Hilarious Memories From Filming 'Friends',0
91,"NASCAR Drivers, Crew March In Solidarity With Bubba Wallace",0
92,Neo-Nazi U.S. Soldier Faces Federal Terrorism Charges For Plotting Attack On Unit,0
93,Surging U.S. Virus Cases Raise Fear That Progress Is Slipping,0
94,"More Young People Are Testing Positive For COVID-19, Particularly In The South",0
95,How The Black Lives Matter Protests Are Shaking Up New York’s Primaries,0
96,"Joel Schumacher, Versatile Director Of Batman Films And 'St Elmo's Fire,' Dies At 80",0
97,Theodore Roosevelt Statue Gets Removed,0
98,Trump Baselessly Claims 2020 Election Is 'RIGGED' Months Before Any Votes Are Cast,0
99,NYPD Officer Suspended After Video Catches Him Using Illegal Chokehold On Black Man,0
100,"From Shops To Dining Out, New York City Gears Up For Next Reopening Phase",0
101,Second Shooting In 48 Hours At Seattle Protest Zone Leaves 1 Wounded,0
102,"2 Dead, 7 Wounded In Shooting In Charlotte, North Carolina",0
103,Teddy Roosevelt Statue Gets Evicted From Outside Museum Of Natural History,0
104,Michelle Obama Shares Sweet Family Throwback Photo For Father's Day,0
105,'Walk Of Shame': Deflated Trump's Lonely Helicopter Walk Becomes Biting New Meme,0
106,"John Bolton Won’t Vote For Trump, Hopes He Will Be A ‘One-Term’ President",0
107,Noose Found In Garage Used By NASCAR’s Bubba Wallace,0
108,Peter Navarro: Trump's Call To Slow COVID-19 Testing Was 'Tongue In Cheek',0
109,"TikTok Users, K-Pop Fans Say They Sabotaged Trump Rally By Inflating Registrations",0
110,Police: Cellphone Pings Helped Locate Missing Idaho Children's Remains,0
111,Second Wave Of Coronavirus Cases? Experts Say We're Still In The First.,0
